iter	AUC	Logloss
70	0.757657975	0.5669664377
71	0.7577722073	0.5655920275
72	0.7584617734	0.5642430953
73	0.7583088875	0.5628712423
74	0.758903712	0.5615328174
75	0.7591771185	0.5602006689
76	0.759411931	0.5588562929
77	0.7600037158	0.5575447871
78	0.760316819	0.5562510879
79	0.7603139281	0.5549388847
80	0.7606919408	0.5536492769
81	0.7607146204	0.5523615752
82	0.761195302	0.5510962364
83	0.7619664073	0.5498625125
84	0.7625624835	0.548619862
85	0.7631712556	0.547389904
86	0.7632335126	0.5461512984
87	0.7635517418	0.5449316152
88	0.7640553415	0.5437323422
89	0.7641038299	0.5425182846
90	0.7642104924	0.541316129
91	0.764451623	0.5401240158
92	0.7649473846	0.5389569621
93	0.7656386793	0.5377960919
94	0.765807122	0.5366369419
95	0.7658943236	0.5354724917
96	0.7661253214	0.5343402608
97	0.7663210034	0.5331882707
98	0.7665457428	0.5320806343
99	0.7666184604	0.5309458463
100	0.7669821382	0.5298329563
101	0.7673209608	0.5287410809
102	0.767223984	0.5276278654
103	0.7676409781	0.5265394769
104	0.7680513263	0.5254467646
105	0.7684678137	0.5243895726
106	0.7687901556	0.5233162012
107	0.7689895332	0.5222406911
108	0.7691314518	0.521177827
109	0.7692775428	0.5201319791
110	0.7697964013	0.5191166302
111	0.770034641	0.5180825914
112	0.7701881528	0.5170498079
113	0.7705233693	0.5160267413
114	0.7707686424	0.5150157163
115	0.7710804641	0.5140056676
116	0.7713732123	0.5130158896
117	0.7713634968	0.5120080261
118	0.7719685733	0.5110370311
119	0.772628814	0.5100591551
120	0.7727949619	0.5090849521
121	0.7734641433	0.5081464088
122	0.77361238	0.507174298
123	0.7741700709	0.506246169
124	0.7744467556	0.5053060915
125	0.7745627165	0.5043524846
126	0.7748370469	0.5034084552
127	0.7752092779	0.5024901827
128	0.7752789557	0.5015566141
129	0.7755325735	0.5006377836
130	0.7758696973	0.4997288095
131	0.7760650814	0.4988143958
132	0.7762691975	0.4979299697
133	0.7765822113	0.497036896
134	0.7769046128	0.4961434039
135	0.7772969306	0.4952639526
136	0.7773101628	0.4943818511
137	0.7776600122	0.4935101175
138	0.7780839801	0.4926652565
139	0.778380692	0.4918070987
140	0.7786820233	0.4909524278
141	0.7788395584	0.4901046843
142	0.778952688	0.4892578706
143	0.7791273594	0.4884130561
144	0.7795100212	0.4875935335
145	0.779782325	0.4867728951
146	0.7801205218	0.4859638798
147	0.7803616822	0.4851577006
148	0.7804576457	0.4843571004
149	0.7806487381	0.4835585924
150	0.7810116708	0.4827680811
151	0.7814161777	0.4819957948
152	0.7816456258	0.4812190918
153	0.7817808092	0.4804418774
154	0.7820729613	0.4796569452
155	0.7824536264	0.4789035348
156	0.7827378809	0.4781477999
157	0.7829395235	0.4773967607
158	0.7831931114	0.4766432574
159	0.7834348381	0.4758914743
160	0.7837367952	0.4751516398
161	0.7841439247	0.4744149203
162	0.7844158709	0.4736853141
163	0.784799248	0.4729639836
164	0.7850213945	0.4722329362
165	0.7852245867	0.4715069564
166	0.7853873968	0.4707974814
167	0.7855973542	0.4700882855
168	0.7857474685	0.4693790895
169	0.786221534	0.4686920704
170	0.7863858342	0.4679985424
171	0.7863639295	0.4673031082
172	0.786567539	0.4666202269
173	0.7867851555	0.4659356719
174	0.7870485485	0.4652675288
175	0.787153095	0.4645869721
176	0.7873925269	0.4639129245
177	0.787674278	0.4632493841
178	0.7879345417	0.4625953746
179	0.7881490588	0.4619416906
180	0.7883284986	0.4612831714
181	0.788513571	0.4606370192
182	0.7887883186	0.4600061165
183	0.7891946137	0.4593754463
184	0.7896502614	0.4587606765
185	0.7899490297	0.4581383285
186	0.7902198136	0.4575279754
187	0.7904276848	0.4569122758
188	0.7907821834	0.4563041079
189	0.7909977138	0.4556904539
190	0.7911787033	0.4550770789
191	0.7914064229	0.4544716076
192	0.7916918099	0.4538666012
193	0.7916877866	0.4532663371
194	0.7918122113	0.4526671423
195	0.7921019793	0.4520849637
196	0.7923004329	0.4514971595
197	0.792419672	0.4509093553
198	0.7927054763	0.4503475404
199	0.7926867902	0.4497635486
200	0.7928698361	0.4491866702
201	0.7928938568	0.4486138831
202	0.7931053936	0.4480492787
203	0.7933955193	0.4474967158
204	0.7935638726	0.4469309955
205	0.7938034832	0.446376201
206	0.7939522862	0.4458280549
207	0.7942189574	0.4452841861
208	0.7946502864	0.4447568686
209	0.7947182059	0.4442068628
210	0.7950108647	0.4436730364
211	0.7951830626	0.4431404188
212	0.795309931	0.4425993395
213	0.7954301536	0.4420651876
214	0.7956760824	0.4415520039
215	0.7957437932	0.4410169221
216	0.7958811224	0.440493882
217	0.7959264815	0.4399641469
218	0.7960620224	0.4394458489
219	0.7961481512	0.4389401039
220	0.7964133918	0.4384321738
221	0.7965168059	0.4379220121
222	0.7967413962	0.4374213813
223	0.7967813611	0.436920518
224	0.7970150113	0.4364342533
225	0.7972616553	0.4359477097
226	0.7976106107	0.4354705111
227	0.7978351116	0.4349865711
228	0.7981726229	0.4345172297
229	0.7981276512	0.4340341731
230	0.798248142	0.4335609728
231	0.7983793914	0.433085169
232	0.7984826565	0.4326094581
233	0.7987327874	0.4321484854
234	0.7988413274	0.4316770053
235	0.7991171777	0.4312307707
236	0.799361974	0.430772727
237	0.7995346785	0.4303280731
238	0.7998143137	0.4298852324
239	0.7999713123	0.4294317915
240	0.8000489175	0.4289879744
241	0.8002340496	0.428550155
242	0.8004570305	0.4281098249
243	0.800757736	0.4276744695
244	0.8009054363	0.4272389281
245	0.8010545671	0.4268002717
246	0.8011872768	0.4263709604
247	0.8013789058	0.4259435087
248	0.8014946282	0.4255144298
249	0.8016379476	0.4250873965
250	0.8018502891	0.4246718934
251	0.8018788695	0.4242556464
252	0.8019292951	0.4238394924
253	0.8020714521	0.4234245007
254	0.8022699058	0.423016018
255	0.8023911715	0.4226104642
256	0.8024868369	0.4221971927
257	0.802634716	0.4217966137
258	0.802746743	0.4213910135
259	0.8027254343	0.4209807175
260	0.8029628694	0.4205872518
261	0.8030408323	0.4201890904
262	0.8031559289	0.4197893482
263	0.8032356799	0.4193999739
264	0.8032363951	0.4190104601
265	0.8034885824	0.4186359168
266	0.8035846651	0.4182581191
267	0.8037805557	0.4178682333
268	0.8040070832	0.4175014543
269	0.8041638136	0.4171283988
270	0.8043541014	0.416750973
271	0.8044268489	0.416375035
272	0.804556489	0.415998911
273	0.8046850562	0.4156355259
274	0.8048949242	0.4152714899
275	0.8050707281	0.4149119172
276	0.8052069247	0.4145503454
277	0.805293262	0.4141864954
278	0.8054172099	0.4138303631
279	0.8055731356	0.4134775784
280	0.8058570921	0.4131344175
281	0.805976063	0.4127867469
282	0.8061439693	0.4124403316
283	0.8062834442	0.4120944742
284	0.8063605428	0.4117508019
285	0.8065255284	0.4114139175
286	0.8067712784	0.4110788929
287	0.8069145083	0.4107517719
288	0.8070681989	0.4104142832
289	0.8071045578	0.4100744698
290	0.8072608411	0.409749069
291	0.807374388	0.4094121382
292	0.8074912131	0.4090800425
293	0.8076324761	0.4087565945
294	0.8077566326	0.4084255217
295	0.8079459071	0.4081008183
296	0.8079707026	0.4077762545
297	0.8081659377	0.4074532249
298	0.8083565235	0.4071361928
299	0.8083145916	0.4068103736
300	0.8084184527	0.4064903195
301	0.8084518015	0.4061714742
302	0.8086513281	0.4058668091
303	0.8088034391	0.4055623765
304	0.8089464903	0.4052538061
305	0.809094578	0.4049469093
306	0.8092039227	0.4046463821
307	0.8094007075	0.4043502251
308	0.809542954	0.4040491864
309	0.8096753061	0.4037479153
310	0.809864372	0.4034578953
311	0.8099109828	0.4031613199
312	0.8100655079	0.4028657673
313	0.8100803196	0.4025653796
314	0.8102204502	0.4022857739
315	0.8103294969	0.4019950101
316	0.8104694784	0.4017115455
317	0.8105128407	0.4014198053
318	0.8105797768	0.4011289485
319	0.8107684553	0.4008530623
320	0.8108142316	0.4005654134
321	0.8110354245	0.4002889227
322	0.81113258	0.4000101075
323	0.8113072515	0.3997399863
324	0.811326772	0.399454848
325	0.8113549352	0.3991794267
326	0.8114864528	0.3989098169
327	0.8115674257	0.398638022
328	0.8115425706	0.3983612524
329	0.8115794361	0.3980899689
330	0.8117109537	0.3978220328
331	0.8117480874	0.397552423
332	0.8119482696	0.3972908565
333	0.8119925261	0.3970281276
334	0.8121419251	0.3967709313
335	0.8122203052	0.3965106665
336	0.8123160601	0.3962562597
337	0.812412411	0.3959973897
338	0.8125792742	0.3957488875
339	0.8126483858	0.395496294
340	0.8127470016	0.3952431425
341	0.8128814101	0.3949925947
342	0.8129242957	0.3947371651
343	0.8131296039	0.3944914989
344	0.8132510185	0.3942437871
345	0.8132629097	0.3939969122
346	0.8133871555	0.3937562207
347	0.8134319782	0.3935100431
348	0.813614279	0.3932723272
349	0.8137488663	0.3930304269
350	0.8139536679	0.3927949891
351	0.8140756786	0.39255811
352	0.8142062128	0.3923255547
353	0.8143673241	0.392092395
354	0.8144082725	0.3918578406
355	0.8145079613	0.3916190088
356	0.814694792	0.3913934739
357	0.8147125542	0.391155479
358	0.814768374	0.3909208315
359	0.8149175346	0.3906974353
360	0.8151059151	0.3904748758
361	0.8152543008	0.390248597
362	0.8153695762	0.3900249683
363	0.8154874444	0.3898009211
364	0.8155754507	0.389578571
365	0.8156533837	0.3893533615
366	0.8157315254	0.3891287797
367	0.8158555627	0.388911102
368	0.8159690797	0.3886970274
369	0.8159840405	0.3884720504
370	0.8160644472	0.3882659028
371	0.8160582781	0.3880456448
372	0.8161661923	0.3878321979
373	0.8162470162	0.3876226332
374	0.8162943423	0.3874014918
375	0.8163135946	0.3871836978
376	0.8164024651	0.3869761323
377	0.8164673448	0.3867646148
378	0.8165293634	0.3865578163
379	0.8166139126	0.386351878
380	0.8166798651	0.3861448471
381	0.8167969882	0.3859421399
382	0.8168997765	0.3857410601
383	0.8170360327	0.3855402126
384	0.8171629608	0.3853404345
385	0.8173541725	0.3851406564
386	0.8175188005	0.3849458763
387	0.8175739944	0.3847492829
388	0.8176826239	0.3845549909
389	0.8178296089	0.3843610941
390	0.8179046512	0.3841672903
391	0.8179882467	0.3839742071
392	0.8180336058	0.3837755681
393	0.8180272877	0.3835749996
394	0.8181040585	0.3833817072
395	0.8181949258	0.3831880428
396	0.8182674348	0.3829965172
397	0.8183531463	0.3828052007
398	0.8184215426	0.3826176501
399	0.8184809089	0.3824274727
400	0.8185425997	0.382240666
401	0.8186069131	0.3820475131
402	0.8186490238	0.3818584282
403	0.8187158406	0.3816737137
404	0.8188259006	0.3814929742
405	0.818834126	0.3813122348
406	0.8188936412	0.3811301471
407	0.818942368	0.3809495704
408	0.8190838993	0.3807721784
409	0.8190842569	0.3805939031
410	0.8191488087	0.3804155347
411	0.8192471266	0.3802353764
412	0.8193250299	0.3800584726
413	0.8193134665	0.3798777797
414	0.8193749785	0.3796993649
415	0.8194533587	0.3795213452
416	0.8195399344	0.3793469055
417	0.8195329607	0.3791713035
418	0.8196265996	0.3789995836
419	0.819791615	0.378830537
420	0.8198263347	0.3786650704
421	0.819894433	0.3784910956
422	0.8199078143	0.3783211889
423	0.8199703097	0.3781538625
424	0.8199996352	0.3779876752
425	0.8200218379	0.3778195817
426	0.8200659454	0.3776546265
427	0.8201472759	0.3774899734
428	0.8202355206	0.3773232282
429	0.8204166889	0.3771627363
430	0.8204620183	0.3769978043
431	0.820477277	0.3768328025
432	0.8206042051	0.3766730777
433	0.8207575977	0.3765147011
434	0.820782423	0.3763513034
435	0.8208228946	0.37619474
436	0.8208405375	0.3760398736
437	0.8208985925	0.3758797303
438	0.8209970891	0.3757251429
439	0.821041435	0.3755683936
440	0.8210687935	0.3754099473
441	0.821187675	0.375259056
442	0.8212989271	0.3751042826
443	0.8214405179	0.37495374
444	0.8215619922	0.3747995245
445	0.8216327727	0.3746469595
446	0.8217748106	0.3744983696
447	0.8218601048	0.3743439217
448	0.8220023811	0.3741941927
449	0.822034359	0.3740429295
450	0.8220541477	0.3738847621
451	0.8221409619	0.3737344752
452	0.8222633004	0.3735822357
453	0.8223342896	0.3734395271
454	0.822340101	0.3732919832
455	0.8224162161	0.3731453228
456	0.8225614429	0.3730002431
457	0.8226704001	0.3728560932
458	0.8227488995	0.3727115016
459	0.8228777349	0.3725726054
460	0.8229403198	0.3724247361
461	0.8229703307	0.3722755883
462	0.82304883	0.3721345767
463	0.8231211603	0.3719972845
464	0.8232109547	0.3718613638
465	0.8232994974	0.3717207938
466	0.823410064	0.3715823858
467	0.8235525489	0.3714467672
468	0.8236121833	0.3713060811
469	0.8237265646	0.3711698117
470	0.8237285018	0.3710285676
471	0.8238151968	0.3708956689
472	0.8238979876	0.370762375
473	0.8239332139	0.3706229441
474	0.824064523	0.370491231
475	0.8241871595	0.3703621679
476	0.8242217302	0.3702272933
477	0.8243742883	0.3700966495
478	0.8244276345	0.3699627047
479	0.8244647682	0.3698305499
480	0.824467063	0.3696947221
481	0.8245966434	0.3695657753
482	0.8246692121	0.3694334345
483	0.8247371018	0.3692993968
484	0.8247565031	0.3691712635
485	0.8248183429	0.3690443624
486	0.8248914182	0.368917066
487	0.8249058127	0.3687886771
488	0.8250026703	0.3686648212
489	0.8251022995	0.3685386174
490	0.8251310587	0.3684098333
491	0.8251965046	0.3682817698
492	0.8252843916	0.3681552173
493	0.8253418803	0.3680328259
494	0.8253986239	0.3679064594
495	0.8255142272	0.3677815807
496	0.8255859613	0.3676595844
497	0.8256864548	0.3675430976
498	0.8257883787	0.3674194741
499	0.8258620799	0.367300035
500	0.8259487748	0.3671794801
501	0.8260573745	0.3670607616
502	0.826089561	0.3669374171
503	0.8261631131	0.3668158858
504	0.8262480497	0.3666921693
505	0.8263621926	0.366575543
506	0.8264450431	0.3664532678
507	0.8265622556	0.366338385
508	0.8266445696	0.3662198292
509	0.8267282248	0.3661031564
510	0.8267968893	0.3659891801
511	0.8268848062	0.365872763
512	0.8268668354	0.365752115
513	0.8268939555	0.3656329084
514	0.8269143999	0.3655186067
515	0.8270065784	0.3654021198
516	0.8270432055	0.3652844706
517	0.8270508349	0.3651679838
518	0.8271181881	0.3650534496
519	0.827216059	0.3649446805
520	0.8272336423	0.3648318898
521	0.8273287117	0.3647206798
522	0.8273822367	0.3646063084
523	0.8274306655	0.3644924716
524	0.8274975717	0.364382052
525	0.8276388943	0.3642726087
526	0.8276660442	0.3641559591
527	0.8277474046	0.3640503748
528	0.8278271854	0.3639393043
529	0.8279145062	0.3638339291
530	0.8279994428	0.3637280193
531	0.8280614018	0.3636190875
532	0.8281785548	0.3635096442
533	0.8282132149	0.3634034089
534	0.8283067048	0.3632945004
535	0.8283549547	0.3631880791
536	0.8284125328	0.3630807745
537	0.828448087	0.3629709361
538	0.828543812	0.3628648868
539	0.828638941	0.3627599068
540	0.8287199736	0.3626550198
541	0.8287655711	0.3625498771
542	0.8288821578	0.3624434094
543	0.8288852274	0.3623399172
544	0.8289313316	0.3622341236
545	0.8289541006	0.3621302362
546	0.8290145099	0.362026651
547	0.8291116655	0.3619236469
548	0.8292042613	0.3618248504
549	0.8292611837	0.3617234736
550	0.8293084204	0.3616216087
551	0.829430759	0.3615229981
552	0.8295277357	0.3614242249
553	0.8296063542	0.3613202445
554	0.8297506869	0.3612228428
555	0.8298088014	0.3611237906
556	0.8299019933	0.3610241573
557	0.8299869597	0.3609271508
558	0.830014497	0.3608267503
559	0.8300434947	0.3607285117
560	0.8301084042	0.3606309241
561	0.8301480711	0.360528013
562	0.8301747441	0.3604274266
563	0.8302332759	0.36032598
564	0.8303052783	0.3602293222
565	0.8303599656	0.360135082
566	0.8304134905	0.3600411905
567	0.8304640949	0.3599474617
568	0.8305664659	0.3598530122
569	0.8305881023	0.3597531929
570	0.8306288719	0.3596552565
571	0.8306852877	0.3595613185
572	0.8307383358	0.3594661485
573	0.8307462931	0.359365748
574	0.8307964504	0.3592701363
575	0.8308116496	0.3591774303
576	0.8308962882	0.3590834458
577	0.8309125006	0.3589904376
578	0.8309803903	0.358900126
579	0.831056565	0.3588087916
580	0.8311324716	0.3587164111
581	0.8312115371	0.3586249836
582	0.8313055634	0.3585321149
583	0.8313662112	0.3584430121
584	0.8314378858	0.3583546067
585	0.8314644098	0.3582601805
586	0.8315454423	0.3581697062
587	0.8315327466	0.3580776744
588	0.8316453397	0.3579901523
589	0.8317071497	0.3578979113
590	0.8317234516	0.3578072278
591	0.8318056464	0.3577195895
592	0.8319163918	0.3576334157
593	0.8319763839	0.3575477998
594	0.832008034	0.3574576509
595	0.8321260214	0.357371082
596	0.8321580291	0.3572817235
597	0.8322208822	0.3571902496
598	0.8322743773	0.3570991941
599	0.8323475122	0.3570122299
600	0.8324713111	0.3569285435
601	0.8325690031	0.3568455312
602	0.8326412141	0.3567597294
603	0.8326517344	0.3566715797
604	0.8327471614	0.3565889858
605	0.8327918351	0.3565056016
606	0.8328555524	0.3564225661
607	0.83291471	0.3563392981
608	0.832947582	0.35625338
609	0.8330225945	0.3561677409
610	0.8330402076	0.3560833106
611	0.8331070542	0.3559920691
612	0.833127141	0.3559085687
613	0.8331579566	0.3558244871
614	0.8332643509	0.3557428463
615	0.8333157003	0.3556575094
616	0.833398819	0.3555755432
617	0.8334299624	0.3554897646
618	0.8335110247	0.3554015684
619	0.8335842788	0.3553216711
620	0.8336056471	0.3552385891
621	0.8336268067	0.3551584128
622	0.8337125778	0.3550770045
623	0.8337556422	0.3549953638
624	0.8338071406	0.3549164893
625	0.8337917626	0.3548306642
626	0.8338652849	0.3547482099
627	0.8338772058	0.3546641282
628	0.8339601457	0.354582255
629	0.8340190351	0.3545062863
630	0.834120661	0.3544270399
631	0.834209919	0.3543487466
632	0.834261477	0.3542727547
633	0.8342746496	0.3541938105
634	0.8342990577	0.354115215
635	0.8343279958	0.354036945
636	0.834379375	0.3539573499
637	0.8344489634	0.3538786846
638	0.8345049024	0.3538034366
639	0.8345698714	0.353728328
640	0.8346092701	0.3536447346
641	0.8346671164	0.3535668364
642	0.8347118199	0.3534869856
643	0.8347565234	0.3534113889
644	0.8347690105	0.3533377216
645	0.8347994089	0.353258359
646	0.8347631693	0.3531817859
647	0.8348318636	0.3531065843
648	0.8349010348	0.3530304064
649	0.8349328041	0.3529532522
650	0.8349950612	0.3528788875
651	0.8350405991	0.3527982231
652	0.8351032138	0.3527233005
653	0.8351420164	0.3526490055
654	0.83514148	0.3525683644
655	0.8351971805	0.352495069
656	0.8352429867	0.352419728
657	0.835298121	0.3523462002
658	0.8353885114	0.3522752294
659	0.8354073167	0.3522012832
660	0.8353841305	0.3521236407
661	0.8354152143	0.3520475093
662	0.8354245126	0.3519717964
663	0.8354412615	0.3518974549
664	0.835498184	0.35182316
665	0.8355550468	0.3517501203
666	0.8355833292	0.351679382
667	0.8356758058	0.3516091552
668	0.8357157111	0.3515348602
669	0.8357665539	0.3514624947
670	0.8358237147	0.3513869212
671	0.8358922005	0.3513138351
672	0.8359005153	0.3512415858
673	0.835950911	0.3511691505
674	0.8360005021	0.3510973894
675	0.8360341191	0.3510239081
676	0.8360905945	0.3509552852
677	0.8361564279	0.3508851978
678	0.8361592591	0.3508142736
679	0.8362018466	0.3507452788
680	0.8362698555	0.3506762142
681	0.8362632394	0.350606522
682	0.8363229632	0.3505338078
683	0.8364074528	0.3504612099
684	0.8364714682	0.3503912387
685	0.8365479112	0.350320175
686	0.8365261555	0.3502473678
687	0.8365603983	0.3501765598
688	0.8366239965	0.350105682
689	0.8366486728	0.3500360828
690	0.8367480934	0.3499675529
691	0.8367767334	0.3498982559
692	0.8368075192	0.3498294471
693	0.8368387818	0.3497619865
694	0.8368953466	0.3496950606
695	0.8369655013	0.3496249732
696	0.8370098174	0.3495550253
697	0.8370589316	0.3494887503
698	0.837164104	0.3494219871
699	0.8372024596	0.3493550148
700	0.8372243643	0.3492893209
701	0.8372829854	0.3492250916
702	0.8373675644	0.349159049
703	0.8374221623	0.3490945872
704	0.8374428153	0.3490290794
705	0.8375072181	0.3489634553
706	0.8375584483	0.3488975289
707	0.8376063108	0.3488283249
708	0.8376583159	0.3487647697
709	0.837700963	0.3486983088
710	0.8377605379	0.3486331263
711	0.8378279805	0.3485681066
712	0.8378753662	0.3485046212
713	0.837970227	0.3484369049
714	0.8380074501	0.3483697465
715	0.8380497098	0.3483056799
716	0.8380723298	0.3482423804
717	0.8381375968	0.3481777094
718	0.838201344	0.3481103883
719	0.8383187056	0.3480467867
720	0.8383572698	0.3479801397
721	0.8384253979	0.3479110984
722	0.83845976	0.3478467761
723	0.8384746313	0.3477821516
724	0.83854267	0.3477189683
725	0.8386194706	0.347651345
726	0.8386819065	0.3475885802
727	0.8387442231	0.3475255597
728	0.8387977779	0.3474621672
729	0.8388234377	0.3474006112
730	0.8388527632	0.3473346849
731	0.8389103711	0.34727106
732	0.8389378488	0.3472071328
733	0.8390106857	0.3471427408
734	0.8390826881	0.3470786742
735	0.8391604125	0.3470144681
736	0.8392161727	0.3469549112
737	0.8392781019	0.3468940061
738	0.8393405378	0.3468344028
739	0.8393439949	0.346773149
740	0.8393979967	0.3467109421
741	0.8394258022	0.346647782
742	0.8394810259	0.3465864352
743	0.839515239	0.3465229498
744	0.8395460248	0.3464623701
745	0.8395406306	0.3464013255
746	0.8395990729	0.3463405134
747	0.8396041393	0.3462782135
748	0.8396391273	0.3462186566
749	0.8396531343	0.3461569844
750	0.8397176564	0.3460938244
751	0.8397627473	0.3460293626
752	0.8398168385	0.3459683412
753	0.8398028612	0.3459068085
754	0.8398495913	0.3458447178
755	0.8399077058	0.3457843938
756	0.8399392068	0.3457244883
757	0.8399785161	0.3456677442
758	0.8400269151	0.3456087918
759	0.8401167095	0.3455490025
760	0.840169549	0.3454912589
761	0.8402310312	0.3454317485
762	0.8402969241	0.3453697973
763	0.840336889	0.3453131927
764	0.8403861821	0.3452526828
765	0.8404278755	0.3451936606
766	0.8404486775	0.3451338946
767	0.840480268	0.3450748724
768	0.8405349255	0.3450146414
769	0.8406116962	0.3449563864
770	0.840641588	0.3448989217
771	0.8406826556	0.3448408526
772	0.8407621384	0.3447808541
773	0.8408349752	0.3447221806
774	0.8408931792	0.3446644137
775	0.8409658074	0.3446048569
776	0.84097597	0.3445448583
777	0.8410426676	0.3444849761
778	0.8410913348	0.3444266978
779	0.8411638141	0.3443671409
780	0.8412331939	0.3443079328
781	0.8412939608	0.3442488176
782	0.8413517475	0.3441906555
783	0.84137398	0.3441295644
784	0.8414225876	0.344072402
785	0.8414322436	0.3440117526
786	0.8414810598	0.3439535672
787	0.8415290713	0.3438969162
788	0.8415648937	0.3438422643
789	0.8416208029	0.3437835211
790	0.8416598439	0.3437264516
791	0.8417202234	0.3436717997
792	0.8417479694	0.3436157298
793	0.8417948484	0.3435583581
794	0.8418494761	0.3435000798
795	0.8418868482	0.3434443586
796	0.841922909	0.3433872193
797	0.8419663012	0.3433304288
798	0.8420314193	0.343271825
799	0.8420908451	0.3432142209
800	0.8421120644	0.3431581975
801	0.8421715498	0.3431012675
802	0.8422251046	0.3430459879
803	0.8422993124	0.3429913825
804	0.8423430324	0.3429374048
805	0.8423572779	0.3428829389
806	0.8424027562	0.3428262878
807	0.8424300551	0.3427677538
808	0.8425192833	0.3427111027
809	0.8425536752	0.3426574039
810	0.8426121771	0.3426011016
811	0.8426332772	0.3425425211
812	0.8426657319	0.3424847309
813	0.842733115	0.3424285681
814	0.8427964747	0.3423729863
815	0.8428713977	0.3423184739
816	0.842879802	0.34226524
817	0.8429589272	0.3422114483
818	0.8429875374	0.3421522866
819	0.843035996	0.3420997501
820	0.8430607319	0.34204375
821	0.8431226015	0.3419889818
822	0.8431614637	0.341934144
823	0.8431987166	0.3418781671
824	0.8432546258	0.3418211673
825	0.8432914317	0.3417707462
826	0.8433492184	0.3417157921
827	0.8433737755	0.3416620236
828	0.8434245586	0.3416060235
829	0.843457967	0.3415539751
830	0.8435050845	0.3415032984
831	0.8435366154	0.3414489719
832	0.8435864151	0.3413966214
833	0.8436359167	0.3413401331
834	0.8436703086	0.3412877826
835	0.8437397182	0.3412346649
836	0.8438036442	0.3411795714
837	0.8438461423	0.3411248265
838	0.8439071178	0.3410714299
839	0.843939364	0.341018568
840	0.8440036476	0.340965799
841	0.8440100253	0.3409160986
842	0.8440347016	0.3408653986
843	0.844050318	0.3408138617
844	0.8441092968	0.34076093
845	0.8441388011	0.3407062549
846	0.8442031443	0.3406529978
847	0.8442819417	0.3405985783
848	0.8443083167	0.340545391
849	0.8443528712	0.3404942493
850	0.8444091678	0.3404404342
851	0.8444597721	0.340387921
852	0.8445358872	0.3403348963
853	0.8445651233	0.3402835687
854	0.8445840776	0.3402330779
855	0.8446294069	0.3401797045
856	0.8446881175	0.3401285396
857	0.8447595835	0.3400743061
858	0.8447867632	0.340020956
859	0.8448300958	0.3399693494
860	0.8448419273	0.3399173476
861	0.8449081481	0.3398664151
862	0.844938904	0.3398139018
863	0.8449808061	0.3397613886
864	0.8450011015	0.3397117114
865	0.8450541794	0.3396594074
866	0.8451266885	0.3396093118
867	0.8451441824	0.339558635
868	0.8451837301	0.3395073306
869	0.8452239037	0.3394553752
870	0.8452615738	0.3394052564
871	0.8452988863	0.3393526501
872	0.8453246355	0.3393025313
873	0.8453352153	0.3392503202
874	0.8453862965	0.3391980627
875	0.8454082608	0.3391459447
876	0.8454284668	0.339097639
877	0.8454501033	0.3390472412
878	0.8454877734	0.3389957973
879	0.8455525637	0.3389451902
880	0.8455768824	0.3388977447
881	0.8456600308	0.3388471609
882	0.8457096219	0.3387952288
883	0.8457418978	0.3387453424
884	0.8457671106	0.3386959906
